Nom du deck,URL,Winner
Matz B,https://altered.re/pages/deck?id=019e1c0a-fd72-7d9b-8081-aee4f85e81ac,
Matz C,https://altered.re/pages/deck?id=019e1c0a-ff07-7a35-80ca-895eaf8144a2,
Matz E,https://altered.re/pages/deck?id=019e1c0b-04a5-78c8-b1c4-fa0b7d2606c9,
Matz F,https://altered.re/pages/deck?id=019e1c0b-06c0-7b25-9558-b8462f35f447,
Matz G,https://altered.re/pages/deck?id=019e1c0b-09a7-72c8-baec-e91245442f50,
Moyo A,https://altered.re/pages/deck?id=019e1c0b-0b7c-71e5-9dff-dc89d6c12d90,
Moyo B,https://altered.re/pages/deck?id=019e1c0b-0d62-7a80-bba4-cea674878333,1
Moyo C,https://altered.re/pages/deck?id=019e1c0b-0f59-76ed-be97-f6c8647418c7,
Moyo D,https://altered.re/pages/deck?id=019e1c0b-1112-767a-a3fa-74863a848363,
Moyo E,https://altered.re/pages/deck?id=019e1c0b-12ae-7587-80e7-2a6966878541,
Zhen I,https://altered.re/pages/deck?id=019e1c0a-6010-7707-9225-bfc5e6cf45b1,
Waru D,https://altered.re/pages/deck?id=019e1c0a-7a21-7ed3-8597-54784aa7fcf7,
Atsadi C,https://altered.re/pages/deck?id=019e1c0a-912b-7a48-8c9a-c7e18dd49600,
Arjun A,https://altered.re/pages/deck?id=019e1c0a-9435-7e51-a359-188036aeda03,
Atsadi D,https://altered.re/pages/deck?id=019e1c0a-958d-7344-846b-e512395c5f5e,
Atsadi A,https://altered.re/pages/deck?id=019e1c0a-9c0e-7e95-a808-be8aff5713df,1
Fen B,https://altered.re/pages/deck?id=019e1c0a-bca6-71b5-8503-473158d3b1e1,
Moyo F,https://altered.re/pages/deck?id=019e1c0b-13e9-7308-bdf0-88c580298b3a,
Moyo G,https://altered.re/pages/deck?id=019e1c0b-1599-7618-8e48-ff573685a0f4,
Moyo H,https://altered.re/pages/deck?id=019e1c0b-1702-7ad2-a184-d88b742b68f6,
Kauri J,https://altered.re/pages/deck?id=019e1c0b-1871-783f-8495-33f7bce3ca77,
Nadir A,https://altered.re/pages/deck?id=019e1c0b-1a5e-71f8-8f98-2e3081719c0f,
Nadir B,https://altered.re/pages/deck?id=019e1c0b-1db3-7ed2-9d1f-0cc3dbadea31,1
Nevenka E,https://altered.re/pages/deck?id=019e1c0b-299a-73ff-977e-5f3fdf797de0,
Nevenka F,https://altered.re/pages/deck?id=019e1c0b-2b21-72f7-8f33-001c959620a3,
Rin B,https://altered.re/pages/deck?id=019e1c0b-2d83-7619-a426-b2faf4fff459,
Rin G,https://altered.re/pages/deck?id=019e1c0b-35bd-71a2-a489-99523e83615d,
Rin K,https://altered.re/pages/deck?id=019e1c0b-3c47-7861-9401-5561db7ab5ca,
Arjun D,https://altered.re/pages/deck?id=019e1c0b-3ef7-74a0-b13e-4ace630d85b3,
Sigismar D,https://altered.re/pages/deck?id=019e1c0b-5557-776b-aa42-1140a7f355cb,
Sol B,https://altered.re/pages/deck?id=019e1c0b-5ab2-714d-b5c7-c5ed0632272b,
Turuun D,https://altered.re/pages/deck?id=019e1c0b-8099-77f6-a21d-55a86cc2420a,
Afanas I,https://altered.re/pages/deck?id=019e1c0b-94c3-7d1d-839e-d26df90402fd,
Zhen F,https://altered.re/pages/deck?id=019e1c0a-678a-7bec-a089-c62a59645161,
Zhen E,https://altered.re/pages/deck?id=019e1c0a-6bd6-7f9c-93e6-2488a9a6daa2,1
Teija I,https://altered.re/pages/deck?id=019e1c0b-75b2-73a2-9e26-1a5e159cff11,
Auraq F,https://altered.re/pages/deck?id=019e3f27-fc8c-72c4-a003-57da60e4d8eb,
Auraq D,https://altered.re/pages/deck?id=019e3f27-fe14-755c-ac49-5eef6312d87e,
Auraq G,https://altered.re/pages/deck?id=019e3f28-0066-79fb-802a-28ca80e8ed64,
Auraq E,https://altered.re/pages/deck?id=019e3f28-030a-7753-ab28-cfcf081a8afd,
Auraq C,https://altered.re/pages/deck?id=019e3f28-04bc-7b51-829f-88993916a82b,
Auraq A,https://altered.re/pages/deck?id=019e3f28-09c8-7b7b-af1c-17ad8dff22b6,
